activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
active,8226677,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,Nc1ccc(Oc2ccccc2-c2ccccc2)cc1,,,CHEMBL1201862,,,,CHEMBL1443177,,CHEMBL1443177,5.13,0,http://www.openphacts.org/units/Nanomolar,1197527,=,7,1,=,,IC50,nM,,7339.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,7.339
active,8226678,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cccc(/C=N/NC(=O)CNC(=O)C2COc3ccccc3O2)c1O,,,CHEMBL1201862,,,,CHEMBL1980684,,CHEMBL1980684,5.37,0,http://www.openphacts.org/units/Nanomolar,1033135,=,7,1,=,,IC50,nM,,4313.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,4.313
active,8226679,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,COC(CN(C(=O)CCl)C(C(=O)NC1CCCCC1)c1ccccc1C)OC,,,CHEMBL1201862,,,,CHEMBL1385327,,CHEMBL1385327,5.42,0,http://www.openphacts.org/units/Nanomolar,1030932,=,7,1,=,,IC50,nM,,3755.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,3.755
active,8226680,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cccc(CNc2ncnc3ccc(-c4c(C)noc4C)cc23)c1,,,CHEMBL1201862,,,,CHEMBL1316462,,CHEMBL1316462,5.00,0,http://www.openphacts.org/units/Nanomolar,1293146,=,7,1,=,,IC50,nM,,9920.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,9.92
active,8226681,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccccc1-c1cc2nc(-c3ccccc3)cc(N3CCN(C(=O)c4ccco4)CC3)n2n1,,,CHEMBL1201862,,,,CHEMBL1893675,,CHEMBL1893675,5.25,0,http://www.openphacts.org/units/Nanomolar,1536794,=,7,1,=,,IC50,nM,,5661.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,5.661
inactive,8226682,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,CCCCC(=O)Nc1cccn2ncnc12,,,CHEMBL1201862,,,,CHEMBL1323983,,CHEMBL1323983,4.96,0,http://www.openphacts.org/units/Nanomolar,1123744,=,7,1,=,,IC50,nM,,10863.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,10.863
active,8226683,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(/C=C2\Cc3ccccc3C2=O)c(C)n1-c1ccccc1,,,CHEMBL1201862,,,,CHEMBL1339283,,CHEMBL1339283,5.06,0,http://www.openphacts.org/units/Nanomolar,1031292,=,7,1,=,,IC50,nM,,8762.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,8.762
active,8260666,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,C=CCN1C(=O)NC(=O)/C(=C(/C)NCc2cc(OC)cc(OC)c2)C1=O,,,CHEMBL1201862,,,,CHEMBL1444434,,CHEMBL1444434,5.99,0,http://www.openphacts.org/units/Nanomolar,1304100,=,7,1,=,,IC50,nM,,1016.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,1.016
inactive,8260667,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,CCn1c2ccccc2c2cnc(/N=C/N(C)C)c(C#N)c21,,,CHEMBL1201862,,,,CHEMBL1992293,,CHEMBL1992293,4.95,0,http://www.openphacts.org/units/Nanomolar,1000293,=,7,1,=,,IC50,nM,,11338.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,11.338
inactive,8260668,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(N/N=C/c1cc(Br)ccc1O)C(c1ccncc1)N1CCOCC1,,,CHEMBL1201862,,,,CHEMBL1987516,,CHEMBL1987516,,0,http://www.openphacts.org/units/Nanomolar,1033246,>,7,1,>,,IC50,nM,,11958.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,11.958
